t_ps,Delta_live_meV,Delta_fold_of_A_meV,g1,A_um_inv,lorentzian,mu_nl_meV
9.400000000000000022e-02,6.004408767488391696e-01,2.256992593493652166e-01,8.736704407550173190e-01,1.416972040025582746e+00,9.997840774018963428e-01,-5.322271319558161823e-02
9.600000000000000200e-02,6.004607583865526621e-01,2.255556231803176881e-01,8.736885252177306604e-01,1.417283360508519552e+00,9.997641686397955585e-01,-5.312291897524323153e-02
9.800000000000000377e-02,6.004810850231379060e-01,2.254119530636370938e-01,8.737066640389118399e-01,1.417594754570371762e+00,9.997429074474805111e-01,-5.298865836219716907e-02
1.000000000000000056e-01,6.005018574172223955e-01,2.252682491186144276e-01,8.737248082957752571e-01,1.417906221952585089e+00,9.997202328835194107e-01,-5.284928362156123688e-02
1.020000000000000073e-01,6.005230766241016482e-01,2.251245114762740474e-01,8.737428010744340279e-01,1.418217762371174251e+00,9.996960822222275000e-01,-5.277016011006278873e-02
1.040000000000000091e-01,6.005447440581431762e-01,2.249807402796436262e-01,8.737605706252784543e-01,1.418529375516137669e+00,9.996703908015089901e-01,-5.271498437654659197e-02
1.059999999999999970e-01,6.005668614471527667e-01,2.248346953478906063e-01,8.737782668126138352e-01,1.418841061050822638e+00,9.996430919840697538e-01,-5.262108000154024079e-02
1.079999999999999988e-01,6.005894306645425118e-01,2.246827200028725380e-01,8.737961224022511297e-01,1.419152818611228772e+00,9.996141172870580682e-01,-5.251196252500035105e-02
1.100000000000000006e-01,6.006124536983449280e-01,2.245307097379359018e-01,8.738142629120848603e-01,1.419464647805284585e+00,9.995833963724550797e-01,-5.240731774436552942e-02
1.120000000000000023e-01,6.006359328206110071e-01,2.243786647582458604e-01,8.738327025524321723e-01,1.419776548212120515e+00,9.995508567621494977e-01,-5.225849374418503612e-02
1.140000000000000041e-01,6.006598707641724877e-01,2.242265852833717210e-01,8.738513748545594373e-01,1.420088519381318859e+00,9.995164234867039976e-01,-5.207505192831163310e-02
1.160000000000000059e-01,6.006842708323215652e-01,2.240744715476797877e-01,8.738700998878737858e-01,1.420400560832107750e+00,9.994800187745118691e-01,-5.194311362896820994e-02
1.180000000000000077e-01,6.007091369183917839e-01,2.239223238007632399e-01,8.738886995230454868e-01,1.420712672052479419e+00,9.994415618396201850e-01,-5.185437637141598194e-02
1.199999999999999956e-01,6.007344733209882826e-01,2.237701423079127283e-01,8.739072129041726145e-01,1.421024852498224744e+00,9.994009689874119307e-01,-5.171762139065276542e-02
1.219999999999999973e-01,6.007602844967033784e-01,2.236179273506180010e-01,8.739258520356896209e-01,1.421337101591904295e+00,9.993581538800000441e-01,-5.155646274200719609e-02
1.239999999999999991e-01,6.007865751027798851e-01,2.234656792270884318e-01,8.739447550947216925e-01,1.421649418721780522e+00,9.993130273754656789e-01,-5.147142659952708837e-02
1.260000000000000009e-01,6.008133502347097199e-01,2.233133982528013595e-01,8.739639169771963312e-01,1.421961803240692879e+00,9.992654969975428569e-01,-5.142565110779325627e-02
1.280000000000000027e-01,6.008406154172983848e-01,2.231610847610869253e-01,8.739832587191135316e-01,1.422274254464858112e+00,9.992154667758557096e-01,-5.129240241509507719e-02
1.300000000000000044e-01,6.008683763707185488e-01,2.230087391037383904e-01,8.740026218525734913e-01,1.422586771672618378e+00,9.991628375157650677e-01,-5.107165920962284528e-02
1.320000000000000062e-01,6.008966389343819436e-01,2.228563616516411605e-01,8.740218447852809991e-01,1.422899354103150715e+00,9.991075068348732602e-01,-5.086778847306716589e-02
