A_over_Ac,Gamma_sch_ps_inv,T_K,Gamma_thermal,Gamma_total
7.329145728643216007e-01,7.119665717333464178e-03,6.190954773869347116e-01,1.781036606552758791e-02,1.781036659509013798e-02
7.374371859296482423e-01,7.354414468091108499e-03,6.228643216080401723e-01,1.821142547151196472e-02,1.821142600107451479e-02
7.419597989949748840e-01,7.594183421239054065e-03,6.266331658291457440e-01,1.861652867252430732e-02,1.861652920208685738e-02
7.464824120603015256e-01,7.839011004084862552e-03,6.304020100502513158e-01,1.902563761432862766e-02,1.902563814389117772e-02
7.510050251256281673e-01,8.088934902482754208e-03,6.341708542713567764e-01,1.943871391662675349e-02,1.943871444618930355e-02
7.555276381909548089e-01,8.343992062206793264e-03,6.379396984924623482e-01,1.985571889784530988e-02,1.985571942740785994e-02
7.600502512562814506e-01,8.604218690686480514e-03,6.417085427135678088e-01,2.027661359920552089e-02,2.027661412876807095e-02
7.645728643216080922e-01,8.869650259088585412e-03,6.454773869346733806e-01,2.070135880808599699e-02,2.070135933764854705e-02
7.690954773869347338e-01,9.140321504729516724e-03,6.492462311557789523e-01,2.112991508068875340e-02,2.112991561025130346e-02
7.736180904522613755e-01,9.416266433803078054e-03,6.530150753768844130e-01,2.156224276401925641e-02,2.156224329358180647e-02
7.781407035175879061e-01,9.697518324408606338e-03,6.567839195979899847e-01,2.199830201719176967e-02,2.199830254675431973e-02
7.826633165829145478e-01,9.984109729865194016e-03,6.605527638190954454e-01,2.243805283207101625e-02,2.243805336163356631e-02
7.871859296482411894e-01,1.027607248229769205e-02,6.643216080402010171e-01,2.288145505326212581e-02,2.288145558282467587e-02
7.917085427135678311e-01,1.057343769648110866e-02,6.680904522613065888e-01,2.332846839746045495e-02,2.332846892702300501e-02
7.962311557788944727e-01,1.087623577392993722e-02,6.718592964824120495e-01,2.377905247217328155e-02,2.377905300173583161e-02
8.007537688442211143e-01,1.118449640721961257e-02,6.756281407035176212e-01,2.423316679382569311e-02,2.423316732338824317e-02
8.052763819095477560e-01,1.149824858452764068e-02,6.793969849246230819e-01,2.469077080526246165e-02,2.469077133482501171e-02
8.097989949748743976e-01,1.181752059438220467e-02,6.831658291457286536e-01,2.515182389265872842e-02,2.515182442222127848e-02
8.143216080402010393e-01,1.214234003060661073e-02,6.869346733668342253e-01,2.561628540185127353e-02,2.561628593141382360e-02
8.188442211055276809e-01,1.247273379744820963e-02,6.907035175879396860e-01,2.608411465410329089e-02,2.608411518366584095e-02
8.233668341708543226e-01,1.280872811488074914e-02,6.944723618090452577e-01,2.655527096131456502e-02,2.655527149087711508e-02
8.278894472361809642e-01,1.315034852406959942e-02,6.982412060301507184e-01,2.702971364068965793e-02,2.702971417025220799e-02
8.324120603015074948e-01,1.349761989298953017e-02,7.020100502512562901e-01,2.750740202887641886e-02,2.750740255843896892e-02
8.369346733668341365e-01,1.385056642218524502e-02,7.057788944723618618e-01,2.798829549558684571e-02,2.798829602514939577e-02
