lambda_min_GOE,lambda_min_GUE
-1.371439875536759889e-01,-1.778726611034140703e-01
-2.545335515298310369e-01,-1.962785531845276932e-01
-1.302804613738154649e-01,-1.425866705504256204e-01
-1.854565883097876733e-01,-1.628439360020300930e-01
-1.901958001210029559e-01,-1.941286194173282853e-01
-2.721810379264602009e-01,-1.915559614270963551e-01
-1.903298245737213013e-01,-1.339151898534277907e-01
-2.329145125691466089e-01,-1.508647503487333119e-01
-1.738676902515433054e-01,-2.147959167190180430e-01
-1.410821013058514706e-01,-1.955896967698643740e-01
-2.149965842712146524e-01,-2.349256403871484156e-01
-1.705374259096159861e-01,-1.651956914517270780e-01
-1.926754729029102331e-01,-1.868330043679573282e-01
-1.493901114291724952e-01,-1.329550059392091144e-01
-2.275963909499401083e-01,-1.428488475642168687e-01
-2.633294146649517997e-01,-2.004951713785739498e-01
-1.951252747453182945e-01,-1.913066497277516875e-01
-2.450284055738353173e-01,-2.171917694343695193e-01
-1.620146146008870636e-01,-1.288463358016917470e-01
-2.259117609501868351e-01,-1.595087100880409892e-01
-3.242116398393536381e-01,-2.459034317012832316e-01
-1.887022201999419002e-01,-1.821499398348141452e-01
-1.843558153837150659e-01,-1.708931200756491908e-01
-1.825006871946305564e-01,-2.053700854807428422e-01
-1.133668986387833394e-01,-1.612313976442946162e-01
-2.119371529603765736e-01,-1.869440923737881455e-01
-2.775750267711119545e-01,-2.085411237655046546e-01
-1.710651033986252401e-01,-1.641446379112042608e-01
-2.277359708282719886e-01,-2.284593420540084463e-01
-1.993458618436199092e-01,-1.469835777757563522e-01
-1.988578344901570927e-01,-1.675390923391678333e-01
-1.929573808754003750e-01,-1.665313376911000953e-01
-2.597224109239403833e-01,-1.548088059508304359e-01
-1.800647797344028245e-01,-1.638882662955110092e-01
-1.134653770632648440e-01,-1.784080659616517350e-01
-1.465772178981935570e-01,-1.829203030213698566e-01
-1.979206498338054177e-01,-1.816498918530646822e-01
-1.843586064089440812e-01,-1.738266322517935669e-01
-1.496711776469653032e-01,-1.471550519831321402e-01
-1.041675954367251578e-01,-1.280301585562624578e-01
-1.738701082328364678e-01,-1.633166763251827081e-01
-1.974327866637919371e-01,-1.378595634947748505e-01
-1.553326857468116939e-01,-2.000477283480338042e-01
-1.958778155533518750e-01,-1.586629048838495704e-01
-2.375448805180026268e-01,-1.839401271362822166e-01
-1.354087433088566605e-01,-1.471343888398676247e-01
-1.657780638164553511e-01,-1.716460828763358981e-01
-2.475136832129579689e-01,-2.118375737812613069e-01
-2.259525983376532154e-01,-1.465952018856409855e-01
-2.354400670899588766e-01,-2.239455508749185753e-01
-2.000238338780543634e-01,-1.830180566649206586e-01
-2.944982603971920132e-01,-2.122225018638490279e-01
-1.742854582180094480e-01,-1.622023243532116354e-01
-1.437615461731961142e-01,-1.765059001777166126e-01
-2.899341655995651967e-01,-2.435770583571655878e-01
-1.954840727758796748e-01,-1.978346910271667203e-01
-1.822898437902534252e-01,-1.560783613555916938e-01
-1.792270461942265247e-01,-1.761764559909982097e-01
-2.452798094331527234e-01,-2.772861910300673527e-01
-1.742001455775862295e-01,-1.465305621910526490e-01
-2.781300096179951109e-01,-2.676933274200324897e-01
-1.873726664416921484e-01,-2.123128850932810285e-01
-2.034838391835460114e-01,-1.893230923586631531e-01
-1.248509119097500758e-01,-1.186901890562120365e-01
-1.729390539857010023e-01,-2.038149470562924392e-01
-1.732909802726216308e-01,-1.865424628183554034e-01
-1.558679281752740620e-01,-1.493137916761096418e-01
-1.551010705282316604e-01,-1.593396681218405275e-01
-1.809587861659933961e-01,-1.837398662978793062e-01
-2.462535877276115781e-01,-1.894622019291762605e-01
-1.718374001772189907e-01,-1.595535113917751213e-01
-1.676649350091772850e-01,-1.832675942996960794e-01
-1.933635208398770122e-01,-2.070262545301005397e-01
-9.092327073673772686e-02,-1.395049608561706456e-01
-1.629248454763546072e-01,-1.713055151103465013e-01
-1.111333470440711013e-01,-1.128938587132167909e-01
-2.281705380603044619e-01,-2.176509299726134272e-01
-2.608941955510323263e-01,-2.374307236359900486e-01
-2.321636608098892607e-01,-1.757353968017355550e-01
-1.453342040031401217e-01,-2.234382864216953590e-01
-1.119959869591838908e-01,-1.420959075578741571e-01
-1.326230566116737009e-01,-1.321854261010497467e-01
-3.011592649759955442e-01,-1.615791488350510063e-01
-1.942174530049096126e-01,-1.994043527221738832e-01
-1.547080422706083591e-01,-1.266210473087205635e-01
-1.225857961505802257e-01,-1.543970157566844914e-01
-8.573785655976677578e-02,-1.229348990628015836e-01
-1.738868800345438337e-01,-1.668216973296706429e-01
-2.970114616590869838e-01,-1.782279793231847376e-01
-2.082685695745404575e-01,-1.471256310457903227e-01
-1.947670794682903050e-01,-1.897574297191228221e-01
-2.718280054645507149e-01,-1.779977877013057541e-01
-1.727423499970739407e-01,-1.554482805179239757e-01
-1.618253464668855945e-01,-2.221757491378106852e-01
-1.323036926582622230e-01,-1.827210181349114282e-01
-2.313967115976970634e-01,-1.751280373041437521e-01
-2.893623196357166250e-01,-1.685712948954512236e-01
-1.954355713254375126e-01,-1.902279923459290756e-01
-1.645636786895319503e-01,-1.307031299945885516e-01
-1.676252951244701361e-01,-2.207434239453046620e-01
-2.908251952395438655e-01,-2.298964110675421335e-01
-1.556334676658166771e-01,-2.040364389179195326e-01
-2.101058109615697445e-01,-1.758893973574071623e-01
-1.796120642165908721e-01,-1.412677792912165331e-01
-1.390737718608781315e-01,-2.132693424175421404e-01
-1.768467891959030203e-01,-1.777344504331803410e-01
-1.528954165746353178e-01,-1.909986557765215032e-01
-1.440892160664288546e-01,-1.527630539585269620e-01
-2.194390209735890551e-01,-1.463622068563038281e-01
-1.329195466130686787e-01,-1.584661663538233789e-01
-1.622313138308730807e-01,-1.295346294403555143e-01
-1.270735745555052199e-01,-2.048605411149289901e-01
-1.737585288659743987e-01,-1.796734174384425342e-01
-1.460254606519610920e-01,-1.886644753636327332e-01
-9.027495955004254113e-02,-1.324874557739246783e-01
-1.564710229085140292e-01,-1.433616180785692029e-01
-1.786893987643065895e-01,-1.853997818213372062e-01
-1.526347294278574129e-01,-1.730254780401492554e-01
-2.363888186615314135e-01,-1.552713902486511921e-01
-1.930521755799353145e-01,-1.635278814835961769e-01
-2.679529327850950771e-01,-2.112283202326146747e-01
-2.346662029942949423e-01,-2.191707358515179449e-01
-1.161549088891404985e-01,-1.277634455874499531e-01
-1.308940354056634670e-01,-1.930284036540332870e-01
-2.592377982674718417e-01,-2.046071261542361797e-01
-1.046234871569350355e-01,-1.612541282426374623e-01
-1.482442866048640506e-01,-1.564548996070314058e-01
-1.776591187081275058e-01,-1.865601816427995274e-01
-2.362600347259693478e-01,-1.680838087785338497e-01
-1.844829242920953960e-01,-1.810981090845265595e-01
-2.905760014658814727e-01,-1.813519827143486862e-01
-1.566939604326359481e-01,-1.799144778657019994e-01
-1.981023589079493608e-01,-1.607602101878123080e-01
-1.474899476027148881e-01,-1.251738895102706695e-01
-1.851971183906520602e-01,-1.558488244154368485e-01
-1.122010819753413852e-01,-1.492820262633209882e-01
-1.969655717575699572e-01,-1.420726230673885204e-01
-3.232083686701630043e-01,-2.191939250477337453e-01
-2.176875382965435535e-01,-2.073518454538775813e-01
-2.379155250461022220e-01,-2.208414846972917844e-01
-1.246432097858344856e-01,-1.962344954108299899e-01
-1.249418242996256506e-01,-1.856357671698931344e-01
-2.315274555301404802e-01,-1.517757824231503738e-01
-1.717806696457956361e-01,-2.124813417913011815e-01
-2.391562326939123406e-01,-2.483725915385643912e-01
-2.151648243599156574e-01,-1.736487148428054184e-01
-1.391270647961963258e-01,-1.320606808429130308e-01
-1.215377469295797347e-01,-1.493352817331685123e-01
-1.915081499932871356e-01,-1.807350744168694512e-01
-2.209379929000734599e-01,-1.557282036056025498e-01
-1.472356737771547963e-01,-1.530116603746213000e-01
-1.586861801599898092e-01,-2.274952585309441278e-01
-1.215696700290137960e-01,-1.870848874715433652e-01
-2.559289828874753425e-01,-1.740914038958575327e-01
-2.432421848252135366e-01,-1.769076168484070843e-01
-2.913536538890078020e-01,-1.756621736779453435e-01
-1.821051820304437907e-01,-1.558571945159989702e-01
-1.265468302943467405e-01,-1.470356893656271369e-01
-1.222363704539961571e-01,-1.420005725267778351e-01
-2.519243256809722276e-01,-2.250872311419500615e-01
-1.515064346870036160e-01,-2.317746913196496727e-01
-3.025544981193387661e-01,-1.586420995883374430e-01
-1.920764809090518555e-01,-1.930973311173383999e-01
-2.792906032075388456e-01,-2.405497167936997971e-01
-2.258234491452305315e-01,-1.510164538017347013e-01
-1.649591668631801011e-01,-1.318548922049254113e-01
-1.787776619582936988e-01,-1.475536351030612148e-01
-1.159142604912274666e-01,-1.622320209477243480e-01
-1.470469900150486731e-01,-1.434439313191236409e-01
-2.070288769737243240e-01,-1.504451640002755497e-01
-1.783998768407147051e-01,-1.554817340823099192e-01
-1.393720400965271777e-01,-2.054841843527805412e-01
-1.414731661673470642e-01,-1.956081850709913972e-01
-1.917730504314545670e-01,-1.508855348290737974e-01
-1.887047431125520869e-01,-1.489865159566577946e-01
-1.758903328737977667e-01,-1.786389926907064329e-01
-2.230635907157819120e-01,-1.894785779238521706e-01
-1.675548467727499824e-01,-1.374180201798787526e-01
-1.634576025021361179e-01,-1.735238125149165811e-01
-2.485596027900921212e-01,-2.342218351040978586e-01
-1.862249543156859755e-01,-2.175014903825814583e-01
-2.383683807052902059e-01,-1.553335460028479331e-01
-1.895716246700312468e-01,-1.998230039405983205e-01
-1.719173438823431432e-01,-1.736460954052956862e-01
-1.842284390234127933e-01,-1.464900277917592641e-01
-2.939663282192922500e-01,-2.461812033565687896e-01
-1.647468799773250392e-01,-2.120997440388877331e-01
-1.853027675975827682e-01,-1.919636554927597050e-01
-2.565345957968782065e-01,-1.819502898087104747e-01
-1.708176755129753588e-01,-2.078910922708328002e-01
-2.265227654515093170e-01,-1.939066208012953374e-01
-1.226866750861267813e-01,-1.550820256791968221e-01
-1.591309989035784855e-01,-1.265973750225642680e-01
-2.093409435720967882e-01,-1.790227875860715412e-01
-1.829665165909996616e-01,-1.524986489550920199e-01
-3.318045306673709782e-01,-1.928059728785067872e-01
-2.250383226692039829e-01,-1.331684622407925678e-01
-2.385154485758851362e-01,-2.484780199072348095e-01
-1.643555241058727301e-01,-1.294551801507258515e-01
-2.935439552150515552e-01,-2.177573826298207504e-01
-2.399291120374544284e-01,-1.908640478815141484e-01
