t_ps,A_um_inv,Delta_fold_meV,lorentzian,folded_out
2.600000000000000089e+00,1.371703399282555136e+00,2.458979665205999754e-01,5.849269329369335413e-01,0.000000000000000000e+00
2.650000000000000355e+00,1.371666641721603686e+00,2.459135345561999642e-01,5.856994677084407241e-01,0.000000000000000000e+00
2.700000000000000178e+00,1.371633186528042669e+00,2.459277030071999881e-01,5.864032539516470521e-01,0.000000000000000000e+00
2.750000000000000000e+00,1.371602739882982425e+00,2.459405948363999894e-01,5.870442080456143019e-01,0.000000000000000000e+00
2.800000000000000266e+00,1.371575033242753650e+00,2.459523261648000059e-01,5.876279449347929784e-01,0.000000000000000000e+00
2.850000000000000089e+00,1.371549822053225176e+00,2.459630006249999834e-01,5.881594904488461895e-01,0.000000000000000000e+00
2.900000000000000355e+00,1.371526883234137628e+00,2.459727127409999659e-01,5.886434433377817355e-01,0.000000000000000000e+00
2.950000000000000178e+00,1.371506013355528353e+00,2.459815487033999992e-01,5.890840090192517309e-01,0.000000000000000000e+00
3.000000000000000000e+00,1.371487026958048361e+00,2.459895870816000141e-01,5.894850310474900601e-01,0.000000000000000000e+00
3.050000000000000266e+00,1.371469755007493463e+00,2.459968994808000020e-01,5.898500205437866573e-01,0.000000000000000000e+00
3.100000000000000089e+00,1.371454043474885864e+00,2.460035505221999930e-01,5.901821524173130884e-01,0.000000000000000000e+00
3.150000000000000355e+00,1.371439751900183079e+00,2.460095997660000089e-01,5.904843590816930554e-01,0.000000000000000000e+00
3.200000000000000178e+00,1.371426752356422973e+00,2.460151020575999659e-01,5.907593459281279547e-01,0.000000000000000000e+00
3.250000000000000000e+00,1.371414928479877782e+00,2.460201066683999904e-01,5.910095468274496611e-01,0.000000000000000000e+00
3.300000000000000266e+00,1.371404174309857282e+00,2.460246584639999845e-01,5.912371811855782200e-01,0.000000000000000000e+00
3.350000000000000089e+00,1.371394393372312281e+00,2.460287982912000015e-01,5.914442722244739326e-01,0.000000000000000000e+00
3.400000000000000355e+00,1.371385497841501433e+00,2.460325633325999850e-01,5.916326638331077525e-01,0.000000000000000000e+00
