# alpha_over_ac  K_primary  K_conv  kappa_primary  kappa_conv  delta
7.808872596406734035e-01 1.892368342061303466e+01 9.584944255912915878e+00 1.935034936588310717e-01 9.801052780369384765e-02 5.065480843599999838e-01
7.934821267206338957e-01 1.850534484004182190e+01 9.166605675341704895e+00 1.892257864559812597e-01 9.373282060084404954e-02 4.953705184000000150e-01
8.060769938005942770e-01 1.808716988983476881e+01 8.748430725134651809e+00 1.849497524499626178e-01 8.945678659482540762e-02 4.839393760069999884e-01
8.186718608805545472e-01 1.766896898882260913e+01 8.330229824122490356e+00 1.806734530848518872e-01 8.518048722971467701e-02 4.722308694819999930e-01
8.312667279605150394e-01 1.725050924665447027e+01 7.911770081954351497e+00 1.763945069481337724e-01 8.090154109299656227e-02 4.602170567259999956e-01
8.438615950404754207e-01 1.683150248968610541e+01 7.492763324985988405e+00 1.721099673298204791e-01 7.661700147468326894e-02 4.478647572769999807e-01
8.564564621204359129e-01 1.641158747069872703e+01 7.072848305998608254e+00 1.678161403085248471e-01 7.232317445338763695e-02 4.351340344719999975e-01
8.690513292003961832e-01 1.599030540099288089e+01 6.651566236292763001e+00 1.635083345557025725e-01 6.801536870056536233e-02 4.219760880280000181e-01
8.816461962803565644e-01 1.556706376023633176e+01 6.228324595536213870e+00 1.591804912744586020e-01 6.368752541932139188e-02 4.083301992899999733e-01
8.942410633603169456e-01 1.514108158822240568e+01 5.802342423522286907e+00 1.548246247822468169e-01 5.933165892710960676e-02 3.941191695949999851e-01
9.068359304402773269e-01 1.471130298125528668e+01 5.372563816555168792e+00 1.504299379710430651e-01 5.493697211590586188e-02 3.792422137299999996e-01
9.194307975202377081e-01 1.427625490172689204e+01 4.937515737026774154e+00 1.459813683439158960e-01 5.048840248877868586e-02 3.635633763530000118e-01
9.320256646001980894e-01 1.383379596189171501e+01 4.495056797191598008e+00 1.414570192118949632e-01 4.596405335675776693e-02 3.468913522929999993e-01
9.446205316801584706e-01 1.338063496583705714e+01 4.041895801136937472e+00 1.368232365609457490e-01 4.133027070580852502e-02 3.289413255940000225e-01
9.572153987601187408e-01 1.291130372566249562e+01 3.572564560962377733e+00 1.320241056180720685e-01 3.653113976293486526e-02 3.092544264120000164e-01
9.698102658400792331e-01 1.241555867701164928e+01 3.076819512311531835e+00 1.269548811575997582e-01 3.146191530246255502e-02 2.869966927540000268e-01
9.824051329200396143e-01 1.186973331273265231e+01 2.530994148032534419e+00 1.213735620999927128e-01 2.588059624485550617e-02 2.602983721189999766e-01
9.950000000000001066e-01 1.118213416825529549e+01 1.843395003555177158e+00 1.143425399815260063e-01 1.884957412638879615e-02 2.221442541810000060e-01
