# ell  K  y  alpha  alpha_over_ac
1.800000000000000044e+00 4.271214653921846072e+00 1.621659080492795084e-11 3.704064343778035867e-02 2.035310267494534475e-01
1.833333333333333259e+00 4.271214653921846072e+00 1.108276639898176609e-11 3.704064343778035867e-02 2.035310267494534475e-01
1.866666666666666696e+00 4.271214653921846072e+00 7.574598013053691316e-12 3.704064343778035867e-02 2.035310267494534475e-01
1.899999999999999911e+00 4.271214653921846072e+00 5.177074814268525300e-12 3.704064343778035867e-02 2.035310267494534475e-01
1.933333333333333348e+00 4.271214653921846072e+00 3.538124103073140985e-12 3.704064343778035867e-02 2.035310267494534475e-01
1.966666666666666563e+00 4.271214653921846072e+00 2.418156878551324751e-12 3.704064343778035867e-02 2.035310267494534475e-01
2.000000000000000000e+00 4.271214653921846072e+00 1.652758212557766424e-12 3.704064343778035867e-02 2.035310267494534475e-01
2.033333333333333215e+00 4.271214653921846072e+00 1.129530454589142494e-12 3.704064343778035867e-02 2.035310267494534475e-01
2.066666666666666430e+00 4.271214653921846072e+00 7.719858769016945563e-13 3.704064343778035867e-02 2.035310267494534475e-01
2.100000000000000089e+00 4.271214653921846072e+00 5.276357416447910382e-13 3.704064343778035867e-02 2.035310267494534475e-01
2.133333333333333304e+00 4.271214653921846072e+00 3.605975965445035046e-13 3.704064343778035867e-02 2.035310267494534475e-01
2.166666666666666519e+00 4.271214653921846072e+00 2.464530731739403165e-13 3.704064343778035867e-02 2.035310267494534475e-01
2.200000000000000178e+00 4.271214653921846072e+00 1.684453743722166763e-13 3.704064343778035867e-02 2.035310267494534475e-01
2.233333333333333393e+00 4.271214653921846072e+00 1.151191861232020756e-13 3.704064343778035867e-02 2.035310267494534475e-01
2.266666666666666607e+00 4.271214653921846072e+00 7.867905242081799429e-14 3.704064343778035867e-02 2.035310267494534475e-01
2.299999999999999822e+00 4.271214653921846072e+00 5.377543996346237325e-14 3.704064343778035867e-02 2.035310267494534475e-01
2.333333333333333481e+00 4.271214653921846072e+00 3.675129047076961031e-14 3.704064343778035867e-02 2.035310267494534475e-01
2.366666666666666696e+00 4.271214653921846072e+00 2.511793912778195489e-14 3.704064343778035867e-02 2.035310267494534475e-01
2.399999999999999911e+00 4.271214653921846072e+00 1.716757111343330687e-14 3.704064343778035867e-02 2.035310267494534475e-01
2.433333333333333126e+00 4.271214653921846072e+00 1.173268676362423204e-14 3.704064343778035867e-02 2.035310267494534475e-01
2.466666666666666785e+00 4.271214653921846072e+00 8.018790854934399244e-15 3.704064343778035867e-02 2.035310267494534475e-01
2.500000000000000000e+00 4.271214653921846072e+00 5.480671067220290609e-15 3.704064343778035867e-02 2.035310267494534475e-01
2.533333333333333215e+00 4.271214653921846072e+00 3.745608301912778694e-15 3.704064343778035867e-02 2.035310267494534475e-01
2.566666666666666430e+00 4.271214653921846072e+00 2.559963476623729021e-15 3.704064343778035867e-02 2.035310267494534475e-01
2.600000000000000089e+00 4.271214653921846072e+00 1.749679972116824886e-15 3.704064343778035867e-02 2.035310267494534475e-01
2.633333333333333304e+00 4.271214653921846072e+00 1.195768866416423924e-15 3.704064343778035867e-02 2.035310267494534475e-01
2.666666666666666519e+00 4.271214653921846072e+00 8.172570054766731841e-16 3.704064343778035867e-02 2.035310267494534475e-01
2.700000000000000178e+00 4.271214653921846072e+00 5.585775842554651276e-16 3.704064343778035867e-02 2.035310267494534475e-01
2.733333333333333393e+00 4.271214653921846072e+00 3.817439162446931370e-16 3.704064343778035867e-02 2.035310267494534475e-01
2.766666666666666607e+00 4.271214653921846072e+00 2.609056805300937933e-16 3.704064343778035867e-02 2.035310267494534475e-01
2.799999999999999822e+00 4.271214653921846072e+00 1.783234206282843060e-16 3.704064343778035867e-02 2.035310267494534475e-01
2.833333333333333481e+00 4.271214653921846072e+00 1.218700550605285195e-16 3.704064343778035867e-02 2.035310267494534475e-01
2.866666666666666696e+00 4.271214653921846072e+00 8.329298332923782519e-17 3.704064343778035867e-02 2.035310267494534475e-01
2.899999999999999911e+00 4.271214653921846072e+00 5.692896249490103441e-17 3.704064343778035867e-02 2.035310267494534475e-01
2.933333333333333126e+00 4.271214653921846072e+00 3.890647548901911532e-17 3.704064343778035867e-02 2.035310267494534475e-01
2.966666666666666785e+00 4.271214653921846072e+00 2.659091614176054558e-17 3.704064343778035867e-02 2.035310267494534475e-01
3.000000000000000000e+00 4.271214653921846072e+00 1.817431921913123865e-17 3.704064343778035867e-02 2.035310267494534475e-01
3.033333333333333215e+00 4.271214653921846072e+00 1.242072003845268274e-17 3.704064343778035867e-02 2.035310267494534475e-01
3.066666666666666430e+00 4.271214653921846072e+00 8.489032244927940331e-18 3.704064343778035867e-02 2.035310267494534475e-01
3.100000000000000089e+00 4.271214653921846072e+00 5.802070942509579478e-18 3.704064343778035867e-02 2.035310267494534475e-01
3.133333333333333304e+00 4.271214653921846072e+00 3.965259878581447136e-18 3.704064343778035867e-02 2.035310267494534475e-01
3.166666666666666519e+00 4.271214653921846072e+00 2.710085958349184039e-18 3.704064343778035867e-02 2.035310267494534475e-01
3.200000000000000178e+00 4.271214653921846072e+00 1.852285459280230653e-18 3.704064343778035867e-02 2.035310267494534475e-01
3.233333333333333393e+00 4.271214653921846072e+00 1.265891659743624228e-18 3.704064343778035867e-02 2.035310267494534475e-01
3.266666666666666607e+00 4.271214653921846072e+00 8.651829430886750463e-19 3.704064343778035867e-02 2.035310267494534475e-01
3.299999999999999822e+00 4.271214653921846072e+00 5.913339317386885963e-19 3.704064343778035867e-02 2.035310267494534475e-01
3.333333333333333481e+00 4.271214653921846072e+00 4.041303075403338574e-19 3.704064343778035867e-02 2.035310267494534475e-01
3.366666666666666696e+00 4.271214653921846072e+00 2.762058239169455234e-19 3.704064343778035867e-02 2.035310267494534475e-01
3.399999999999999911e+00 4.271214653921846072e+00 1.887807395310511385e-19 3.704064343778035867e-02 2.035310267494534475e-01
