# t_A  delta_phys  delta_sqrt  delta_bkt  delta_c
1.962849624800077145e-02 2.650613264730000140e-01 2.598071286890141218e-01 8.223414971567426235e-02 1.817956018219515357e-01
2.020409168015703527e-02 2.663702991560000233e-01 2.609426876254432592e-01 8.523509343945814831e-02 1.817956018219515357e-01
2.079656614865581232e-02 2.677010195849999774e-01 2.620947760947490157e-01 8.830012962244362940e-02 1.817956018219515357e-01
2.140641462244916374e-02 2.690539145170000035e-01 2.632636347057173976e-01 9.142902935034954992e-02 1.817956018219515357e-01
2.203414658519590313e-02 2.704293716689999960e-01 2.644495075695072472e-01 9.462151645152569457e-02 1.817956018219515357e-01
2.268028646089789366e-02 2.718277979909999864e-01 2.656526423506319623e-01 9.787726801733773185e-02 1.817956018219515357e-01
2.334537405201777063e-02 2.732496192680000102e-01 2.668732903186831207e-01 1.011959149923775253e-01 1.817956018219515357e-01
2.402996499044430037e-02 2.746952220139999845e-01 2.681117064008068374e-01 1.045770428318090889e-01 1.817956018219515357e-01
2.473463120168212931e-02 2.761650762419999849e-01 2.693681492349446760e-01 1.080201922230557138e-01 1.817956018219515357e-01
2.545996138265347111e-02 2.776596066049999978e-01 2.706428812238486636e-01 1.115248598689381199e-01 1.817956018219515357e-01
2.620656149351131489e-02 2.791792588420000110e-01 2.719361685898832870e-01 1.150904993292984069e-01 1.817956018219515357e-01
2.697505526387457622e-02 2.807244993190000093e-01 2.732482814306246843e-01 1.187165219180718462e-01 1.817956018219515357e-01
2.776608471390848432e-02 2.822957811819999940e-01 2.745794937752694120e-01 1.224022976527182338e-01 1.817956018219515357e-01
2.858031069068535032e-02 2.838935944970000236e-01 2.759300836418645542e-01 1.261471562528773405e-01 1.817956018219515357e-01
2.941841342027374379e-02 2.855184110080000170e-01 2.773003330953701107e-01 1.299503881850834486e-01 1.817956018219515357e-01
3.028109307601755534e-02 2.871707251649999737e-01 2.786905283065675976e-01 1.338112457503538577e-01 1.817956018219515357e-01
3.116907036347937865e-02 2.888510536169999754e-01 2.801009596118252398e-01 1.377289442114537354e-01 1.817956018219515357e-01
3.208308712253716416e-02 2.905598956489999773e-01 2.815319215737335234e-01 1.417026629566431328e-01 1.817956018219515357e-01
